seed,result,rc
1,draw,0
2,draw,0
3,draw,0
4,draw,0
5,draw,0
6,draw,0
7,draw,0
8,draw,0
9,draw,0
10,draw,0
11,draw,0
12,draw,0
13,draw,0
14,draw,0
15,draw,0
16,draw,0
17,draw,0
18,draw,0
19,draw,0
20,draw,0
21,draw,0
22,draw,0
23,draw,0
24,draw,0
25,draw,0
26,draw,0
27,draw,0
28,draw,0
29,draw,0
30,draw,0
31,draw,0
32,draw,0
33,draw,0
34,draw,0
35,draw,0
36,draw,0
37,draw,0
38,draw,0
39,draw,0
40,draw,0
41,draw,0
42,draw,0
43,draw,0
44,draw,0
45,draw,0
46,draw,0
47,draw,0
48,draw,0
49,draw,0
50,draw,0
51,draw,0
52,draw,0
53,draw,0
54,draw,0
55,draw,0
56,draw,0
57,draw,0
58,draw,0
59,draw,0
60,draw,0
61,draw,0
62,draw,0
63,draw,0
64,draw,0
65,draw,0
66,draw,0
67,draw,0
68,draw,0
69,draw,0
70,draw,0
71,draw,0
72,draw,0
73,draw,0
74,draw,0
75,draw,0
76,draw,0
77,draw,0
78,draw,0
79,draw,0
80,draw,0
81,draw,0
82,draw,0
83,draw,0
84,draw,0
85,draw,0
86,draw,0
87,draw,0
88,draw,0
89,draw,0
90,draw,0
91,draw,0
92,draw,0
93,draw,0
94,draw,0
95,draw,0
96,draw,0
97,draw,0
98,draw,0
99,draw,0
100,draw,0
101,draw,0
102,draw,0
103,draw,0
104,draw,0
105,draw,0
106,draw,0
107,draw,0
108,draw,0
109,draw,0
110,draw,0
111,draw,0
112,draw,0
113,draw,0
114,draw,0
115,draw,0
116,draw,0
117,draw,0
118,draw,0
119,draw,0
120,draw,0
121,draw,0
122,draw,0
123,draw,0
124,draw,0
125,draw,0
126,draw,0
127,draw,0
128,draw,0
129,draw,0
130,draw,0
131,draw,0
132,draw,0
133,draw,0
134,draw,0
135,draw,0
136,draw,0
137,draw,0
138,draw,0
139,draw,0
140,draw,0
141,draw,0
142,draw,0
143,draw,0
144,draw,0
145,draw,0
146,draw,0
147,draw,0
148,draw,0
149,draw,0
150,draw,0
151,draw,0
152,draw,0
153,draw,0
154,draw,0
155,draw,0
156,draw,0
157,draw,0
158,draw,0
159,draw,0
160,draw,0
161,draw,0
162,draw,0
163,draw,0
164,draw,0
165,draw,0
166,draw,0
167,draw,0
168,draw,0
169,draw,0
170,draw,0
171,draw,0
172,draw,0
173,draw,0
174,draw,0
175,draw,0
176,draw,0
177,draw,0
178,draw,0
179,draw,0
180,draw,0
181,draw,0
182,draw,0
183,draw,0
184,draw,0
185,draw,0
186,draw,0
187,draw,0
188,draw,0
189,draw,0
190,draw,0
191,draw,0
192,draw,0
193,draw,0
194,draw,0
195,draw,0
196,draw,0
197,draw,0
198,draw,0
199,draw,0
200,draw,0
